ENSEMBL	ENTREZID	SYMBOL	GENENAME
ENSG00000189129	219348	PLAC9	placenta associated 9
ENSG00000185002	222546	RFX6	regulatory factor X6
ENSG00000263155	100820829	MYZAP	myocardial zonula adherens protein
ENSG00000154721	58494	JAM2	junctional adhesion molecule 2
ENSG00000174749	132720	FAM241A	family with sequence similarity 241 member A
ENSG00000135447	5502	PPP1R1A	protein phosphatase 1 regulatory inhibitor subunit 1A
ENSG00000164741	10395	DLC1	DLC1 Rho GTPase activating protein
ENSG00000291132	339483	MTMR9LP	myotubularin related protein 9 like, pseudogene
ENSG00000072163	55679	LIMS2	LIM zinc finger domain containing 2
ENSG00000259969	NA	NA	NA
ENSG00000125966	10893	MMP24	matrix metallopeptidase 24
ENSG00000286373	NA	NA	NA
ENSG00000134343	63982	ANO3	anoctamin 3
ENSG00000086570	2196	FAT2	FAT atypical cadherin 2
ENSG00000102362	94121	SYTL4	synaptotagmin like 4
ENSG00000128918	8854	ALDH1A2	aldehyde dehydrogenase 1 family member A2
ENSG00000186615	100129075	KTN1-AS1	KTN1 antisense RNA 1
ENSG00000158966	57685	CACHD1	cache domain containing 1
ENSG00000135424	3679	ITGA7	integrin subunit alpha 7
ENSG00000224616	NA	NA	NA
ENSG00000154099	123872	DNAAF1	dynein axonemal assembly factor 1
ENSG00000151914	667	DST	dystonin
ENSG00000087494	5744	PTHLH	parathyroid hormone like hormone
ENSG00000287385	NA	NA	NA
ENSG00000105376	7087	ICAM5	intercellular adhesion molecule 5
ENSG00000184785	644538	SMIM10	small integral membrane protein 10
ENSG00000129474	84962	AJUBA	ajuba LIM protein
ENSG00000134202	2947	GSTM3	glutathione S-transferase mu 3
ENSG00000267221	110806298	C17orf113	chromosome 17 open reading frame 113
ENSG00000069702	7049	TGFBR3	transforming growth factor beta receptor 3
ENSG00000145632	10769	PLK2	polo like kinase 2
ENSG00000259793	NA	NA	NA
ENSG00000243701	344595	DUBR	DPPA2 upstream binding RNA
ENSG00000235314	NA	NA	NA
ENSG00000226005	101927904	LINC02660	long intergenic non-protein coding RNA 2660
ENSG00000130307	83878	USHBP1	USH1 protein network component harmonin binding protein 1
ENSG00000131080	60401	EDA2R	ectodysplasin A2 receptor
ENSG00000141295	90507	SCRN2	secernin 2
ENSG00000009724	10747	MASP2	MBL associated serine protease 2
ENSG00000186409	728621	CCDC30	coiled-coil domain containing 30
ENSG00000022267	2273	FHL1	four and a half LIM domains 1
ENSG00000231249	100996539	ITPR1-DT	ITPR1 divergent transcript
ENSG00000258708	100129794	SLC25A21-AS1	SLC25A21 antisense RNA 1
ENSG00000183722	10186	LHFPL6	LHFPL tetraspan subfamily member 6
ENSG00000165449	220963	SLC16A9	solute carrier family 16 member 9
ENSG00000178222	285498	RNF212	ring finger protein 212
ENSG00000118898	5493	PPL	periplakin
ENSG00000184916	3714	JAG2	jagged canonical Notch ligand 2
ENSG00000136531	6326	SCN2A	sodium voltage-gated channel alpha subunit 2
ENSG00000168280	3800	KIF5C	kinesin family member 5C
ENSG00000164129	4889	NPY5R	neuropeptide Y receptor Y5
ENSG00000136274	23148	NACAD	NAC alpha domain containing
ENSG00000244119	NA	NA	NA
ENSG00000285051	101928583	SLC7A14-AS1	SLC7A14 antisense RNA 1
ENSG00000120471	63970	TP53AIP1	tumor protein p53 regulated apoptosis inducing protein 1
ENSG00000248727	102467147	LINC01948	long intergenic non-protein coding RNA 1948
ENSG00000119771	114818	KLHL29	kelch like family member 29
ENSG00000206549	NA	NA	NA
ENSG00000105792	79846	CFAP69	cilia and flagella associated protein 69
ENSG00000136160	1910	EDNRB	endothelin receptor type B
ENSG00000156804	114907	FBXO32	F-box protein 32
ENSG00000172318	8708	B3GALT1	beta-1,3-galactosyltransferase 1
ENSG00000234350	101926913	ERICH2-DT	ERICH2 divergent transcript
ENSG00000273599	NA	NA	NA
ENSG00000187391	9863	MAGI2	membrane associated guanylate kinase, WW and PDZ domain containing 2
ENSG00000095637	10580	SORBS1	sorbin and SH3 domain containing 1
ENSG00000184384	84441	MAML2	mastermind like transcriptional coactivator 2
ENSG00000068137	79990	PLEKHH3	pleckstrin homology, MyTH4 and FERM domain containing H3
ENSG00000101335	10398	MYL9	myosin light chain 9
ENSG00000182168	8633	UNC5C	unc-5 netrin receptor C
ENSG00000276855	NA	NA	NA
ENSG00000205078	100130958	SYCE1L	synaptonemal complex central element protein 1 like
ENSG00000204851	57469	PNMA8B	PNMA family member 8B
ENSG00000232611	NA	NA	NA
ENSG00000168679	9122	SLC16A4	solute carrier family 16 member 4
ENSG00000179826	117195	MRGPRX3	MAS related GPR family member X3
ENSG00000157064	23057	NMNAT2	nicotinamide nucleotide adenylyltransferase 2
ENSG00000196388	388324	INCA1	inhibitor of CDK, cyclin A1 interacting protein 1
ENSG00000164591	91977	MYOZ3	myozenin 3
ENSG00000152578	2893	GRIA4	glutamate ionotropic receptor AMPA type subunit 4
ENSG00000249346	100507584	LINC01016	long intergenic non-protein coding RNA 1016
ENSG00000136944	4010	LMX1B	LIM homeobox transcription factor 1 beta
ENSG00000196476	140680	C20orf96	chromosome 20 open reading frame 96
ENSG00000261054	NA	NA	NA
ENSG00000187609	54932	EXD3	exonuclease 3'-5' domain containing 3
ENSG00000183092	57596	BEGAIN	brain enriched guanylate kinase associated
ENSG00000124440	64344	HIF3A	hypoxia inducible factor 3 subunit alpha
ENSG00000291089	NA	NA	NA
ENSG00000205959	NA	NA	NA
ENSG00000149294	4684	NCAM1	neural cell adhesion molecule 1
ENSG00000165300	26050	SLITRK5	SLIT and NTRK like family member 5
ENSG00000240771	115557	ARHGEF25	Rho guanine nucleotide exchange factor 25
ENSG00000080166	1638	DCT	dopachrome tautomerase
ENSG00000234456	100505881	MAGI2-AS3	MAGI2 antisense RNA 3
ENSG00000006468	2115	ETV1	ETS variant transcription factor 1
ENSG00000197461	5154	PDGFA	platelet derived growth factor subunit A
ENSG00000256650	NA	NA	NA
ENSG00000150995	3708	ITPR1	inositol 1,4,5-trisphosphate receptor type 1
ENSG00000198929	9722	NOS1AP	nitric oxide synthase 1 adaptor protein
ENSG00000272523	NA	NA	NA
ENSG00000188039	284434	NWD1	NACHT and WD repeat domain containing 1
ENSG00000277531	110806277	PNMA8C	PNMA family member 8C
ENSG00000148737	6934	TCF7L2	transcription factor 7 like 2
ENSG00000261616	NA	NA	NA
ENSG00000180347	223075	ITPRID1	ITPR interacting domain containing 1
ENSG00000258818	6038	RNASE4	ribonuclease A family member 4
ENSG00000176402	349149	GJC3	gap junction protein gamma 3
ENSG00000145451	8001	GLRA3	glycine receptor alpha 3
ENSG00000274565	NA	NA	NA
ENSG00000186496	252884	ZNF396	zinc finger protein 396
ENSG00000173175	111	ADCY5	adenylate cyclase 5
ENSG00000065717	7089	TLE2	TLE family member 2, transcriptional corepressor
ENSG00000283703	338667	VSIG10L2	V-set and immunoglobulin domain containing 10 like 2
ENSG00000137878	145781	GCOM1	GCOM1, MYZAP-POLR2M combined locus
ENSG00000184113	7122	CLDN5	claudin 5
ENSG00000176485	11145	PLAAT3	phospholipase A and acyltransferase 3
ENSG00000280339	NA	NA	NA
ENSG00000184903	83943	IMMP2L	inner mitochondrial membrane peptidase subunit 2
ENSG00000110318	57562	CEP126	centrosomal protein 126
ENSG00000106034	79974	CPED1	cadherin like and PC-esterase domain containing 1
ENSG00000289302	NA	NA	NA
ENSG00000198756	23127	COLGALT2	collagen beta(1-O)galactosyltransferase 2
ENSG00000103647	10391	CORO2B	coronin 2B
ENSG00000173267	6623	SNCG	synuclein gamma
ENSG00000235098	441869	ANKRD65	ankyrin repeat domain 65
ENSG00000121413	65982	ZSCAN18	zinc finger and SCAN domain containing 18
ENSG00000291116	389033	PLAC9P1	placenta associated 9 pseudogene 1
ENSG00000220205	6844	VAMP2	vesicle associated membrane protein 2
ENSG00000111879	79632	FAM184A	family with sequence similarity 184 member A
ENSG00000156076	11197	WIF1	WNT inhibitory factor 1
ENSG00000139304	374462	PTPRQ	protein tyrosine phosphatase receptor type Q
ENSG00000257354	120766144	MIRLET7IHG	MIRLET7I host gene
ENSG00000229312	NA	NA	NA
ENSG00000009950	51085	MLXIPL	MLX interacting protein like
ENSG00000169297	190	NR0B1	nuclear receptor subfamily 0 group B member 1
ENSG00000270607	NA	NA	NA
ENSG00000204311	494513	PJVK	pejvakin
ENSG00000150627	116966	WDR17	WD repeat domain 17
ENSG00000096093	114327	EFHC1	EF-hand domain containing 1
ENSG00000103942	9455	HOMER2	homer scaffold protein 2
ENSG00000174697	3952	LEP	leptin
ENSG00000105737	2901	GRIK5	glutamate ionotropic receptor kainate type subunit 5
ENSG00000241769	100131434	EOLA1-DT	EOLA1 divergent transcript
ENSG00000152580	285313	IGSF10	immunoglobulin superfamily member 10
ENSG00000157110	11030	RBPMS	RNA binding protein, mRNA processing factor
ENSG00000254109	100128750	RBPMS-AS1	RBPMS antisense RNA 1
ENSG00000146233	51302	CYP39A1	cytochrome P450 family 39 subfamily A member 1
ENSG00000248491	NA	NA	NA
ENSG00000180592	387640	SKIDA1	SKI/DACH domain containing 1
ENSG00000233251	100129434	LOC100129434	uncharacterized LOC100129434
ENSG00000157168	3084	NRG1	neuregulin 1
ENSG00000286389	105373289	LOC105373289	LOC105373289
ENSG00000287059	NA	NA	NA
ENSG00000164742	107	ADCY1	adenylate cyclase 1
ENSG00000139926	122786	FRMD6	FERM domain containing 6
ENSG00000198691	24	ABCA4	ATP binding cassette subfamily A member 4
ENSG00000119927	57678	GPAM	glycerol-3-phosphate acyltransferase, mitochondrial
ENSG00000115598	8808	IL1RL2	interleukin 1 receptor like 2
ENSG00000134020	157310	PEBP4	phosphatidylethanolamine binding protein 4
ENSG00000211899	3507	IGHM	immunoglobulin heavy constant mu
ENSG00000257337	283335	TNS2-AS1	TNS2 antisense RNA 1
ENSG00000146678	3484	IGFBP1	insulin like growth factor binding protein 1
ENSG00000116678	3953	LEPR	leptin receptor
ENSG00000183873	6331	SCN5A	sodium voltage-gated channel alpha subunit 5
ENSG00000273771	NA	NA	NA
ENSG00000047648	395	ARHGAP6	Rho GTPase activating protein 6
ENSG00000291054	NA	NA	NA
ENSG00000144152	129804	FBLN7	fibulin 7
ENSG00000151491	2059	EPS8	epidermal growth factor receptor pathway substrate 8
ENSG00000077782	2260	FGFR1	fibroblast growth factor receptor 1
ENSG00000204021	643414	LIPK	lipase family member K
ENSG00000180155	66004	LYNX1	Ly6/neurotoxin 1
ENSG00000043039	8538	BARX2	BARX homeobox 2
ENSG00000167740	124936	CYB5D2	cytochrome b5 domain containing 2
ENSG00000250538	NA	NA	NA
ENSG00000166473	114780	PKD1L2	polycystin 1 like 2 (gene/pseudogene)
ENSG00000168309	11170	FAM107A	family with sequence similarity 107 member A
ENSG00000237380	NA	NA	NA
ENSG00000174080	8722	CTSF	cathepsin F
ENSG00000142910	64129	TINAGL1	tubulointerstitial nephritis antigen like 1
ENSG00000250303	283140	LINC02762	long intergenic non-protein coding RNA 2762
ENSG00000198400	4914	NTRK1	neurotrophic receptor tyrosine kinase 1
ENSG00000081479	4036	LRP2	LDL receptor related protein 2
ENSG00000153446	146556	C16orf89	chromosome 16 open reading frame 89
ENSG00000170509	345275	HSD17B13	hydroxysteroid 17-beta dehydrogenase 13
ENSG00000187720	79875	THSD4	thrombospondin type 1 domain containing 4
ENSG00000177283	8325	FZD8	frizzled class receptor 8
ENSG00000157429	7567	ZNF19	zinc finger protein 19
ENSG00000157429	124903710	LOC124903710	uncharacterized LOC124903710
ENSG00000225472	NA	NA	NA
ENSG00000111077	23371	TNS2	tensin 2
ENSG00000256654	NA	NA	NA
ENSG00000126947	51309	ARMCX1	armadillo repeat containing X-linked 1
ENSG00000126895	554	AVPR2	arginine vasopressin receptor 2
ENSG00000099260	54873	PALMD	palmdelphin
ENSG00000254510	NA	NA	NA
ENSG00000171954	126410	CYP4F22	cytochrome P450 family 4 subfamily F member 22
ENSG00000003987	9108	MTMR7	myotubularin related protein 7
ENSG00000272068	NA	NA	NA
ENSG00000074410	771	CA12	carbonic anhydrase 12
ENSG00000163072	115677	NOSTRIN	nitric oxide synthase trafficking
ENSG00000136011	55576	STAB2	stabilin 2
ENSG00000155970	286097	MICU3	mitochondrial calcium uptake family member 3
ENSG00000119938	5507	PPP1R3C	protein phosphatase 1 regulatory subunit 3C
ENSG00000179277	NA	NA	NA
ENSG00000178734	729420	LMO7DN	LMO7 downstream neighbor
ENSG00000124074	84080	ENKD1	enkurin domain containing 1
ENSG00000164066	27152	INTU	inturned planar cell polarity protein
ENSG00000112837	9096	TBX18	T-box transcription factor 18
ENSG00000163141	149428	BNIPL	BCL2 interacting protein like
ENSG00000177363	221091	LRRN4CL	LRRN4 C-terminal like
ENSG00000099869	51214	IGF2-AS	IGF2 antisense RNA
ENSG00000055813	114800	CCDC85A	coiled-coil domain containing 85A
ENSG00000289965	NA	NA	NA
ENSG00000180481	144321	GLIPR1L2	GLIPR1 like 2
ENSG00000231826	102723854	LINC01819	long intergenic non-protein coding RNA 1819
ENSG00000166960	374864	CCDC178	coiled-coil domain containing 178
ENSG00000128655	50940	PDE11A	phosphodiesterase 11A
ENSG00000215018	340267	COL28A1	collagen type XXVIII alpha 1 chain
ENSG00000137558	51050	PI15	peptidase inhibitor 15
ENSG00000170837	2850	GPR27	G protein-coupled receptor 27
ENSG00000229358	NA	NA	NA
ENSG00000130226	1804	DPP6	dipeptidyl peptidase like 6
ENSG00000169129	84632	AFAP1L2	actin filament associated protein 1 like 2
ENSG00000132554	26166	RGS22	regulator of G protein signaling 22
ENSG00000231768	100506795	LINC01354	long intergenic non-protein coding RNA 1354
ENSG00000175445	4023	LPL	lipoprotein lipase
ENSG00000154102	404550	C16orf74	chromosome 16 open reading frame 74
ENSG00000198870	169436	STKLD1	serine/threonine kinase like domain containing 1
ENSG00000144908	10840	ALDH1L1	aldehyde dehydrogenase 1 family member L1
ENSG00000253706	NA	NA	NA
ENSG00000115041	30818	KCNIP3	potassium voltage-gated channel interacting protein 3
ENSG00000281769	NA	NA	NA
ENSG00000142515	354	KLK3	kallikrein related peptidase 3
ENSG00000169047	3667	IRS1	insulin receptor substrate 1
ENSG00000121207	9227	LRAT	lecithin retinol acyltransferase
ENSG00000187240	79659	DYNC2H1	dynein cytoplasmic 2 heavy chain 1
ENSG00000250742	400043	LINC02381	long intergenic non-protein coding RNA 2381
ENSG00000019144	23187	PHLDB1	pleckstrin homology like domain family B member 1
ENSG00000131095	2670	GFAP	glial fibrillary acidic protein
ENSG00000167992	220001	VWCE	von Willebrand factor C and EGF domains
ENSG00000106809	4969	OGN	osteoglycin
ENSG00000185250	285755	PPIL6	peptidylprolyl isomerase like 6
ENSG00000248869	105377441	LINC02511	long intergenic non-protein coding RNA 2511
ENSG00000232284	100289178	GNG12-AS1	GNG12, DIRAS3 and WLS antisense RNA 1
ENSG00000140443	3480	IGF1R	insulin like growth factor 1 receptor
ENSG00000120645	440073	IQSEC3	IQ motif and Sec7 domain ArfGEF 3
ENSG00000088992	54997	TESC	tescalcin
ENSG00000135324	112609	MRAP2	melanocortin 2 receptor accessory protein 2
ENSG00000085741	7481	WNT11	Wnt family member 11
ENSG00000215386	388815	MIR99AHG	mir-99a-let-7c cluster host gene
ENSG00000189431	644943	RASSF10	Ras association domain family member 10
ENSG00000188385	282973	JAKMIP3	Janus kinase and microtubule interacting protein 3
ENSG00000226409	102723341	LOC102723341	uncharacterized LOC102723341
ENSG00000222014	84084	RAB6C	RAB6C, member RAS oncogene family
ENSG00000289405	NA	NA	NA
ENSG00000024422	30846	EHD2	EH domain containing 2
ENSG00000113248	56121	PCDHB15	protocadherin beta 15
ENSG00000245694	643911	CRNDE	colorectal neoplasia differentially expressed
ENSG00000245694	101927480	LOC101927480	uncharacterized LOC101927480
ENSG00000125124	583	BBS2	Bardet-Biedl syndrome 2
ENSG00000173641	27129	HSPB7	heat shock protein family B (small) member 7
ENSG00000182636	4692	NDN	necdin, MAGE family member
ENSG00000182359	143879	KBTBD3	kelch repeat and BTB domain containing 3
ENSG00000247809	644192	NR2F2-AS1	NR2F2 antisense RNA 1
ENSG00000116741	5997	RGS2	regulator of G protein signaling 2
ENSG00000174950	388611	CD164L2	CD164 molecule like 2
ENSG00000075223	10512	SEMA3C	semaphorin 3C
ENSG00000254343	NA	NA	NA
ENSG00000255248	399959	MIR100HG	mir-100-let-7a-2-mir-125b-1 cluster host gene
ENSG00000280255	NA	NA	NA
ENSG00000163762	116441	TM4SF18	transmembrane 4 L six family member 18
ENSG00000113205	56132	PCDHB3	protocadherin beta 3
ENSG00000233967	NA	NA	NA
ENSG00000279096	NA	NA	NA
ENSG00000233016	84973	SNHG7	small nucleolar RNA host gene 7
ENSG00000233016	124900276	LOC124900276	cuticle collagen 2-like
ENSG00000077063	83992	CTTNBP2	cortactin binding protein 2
ENSG00000204065	340543	TCEAL5	transcription elongation factor A like 5
ENSG00000149582	84866	TMEM25	transmembrane protein 25
ENSG00000213398	3931	LCAT	lecithin-cholesterol acyltransferase
ENSG00000230910	NA	NA	NA
ENSG00000286721	NA	NA	NA
ENSG00000140682	7041	TGFB1I1	transforming growth factor beta 1 induced transcript 1
ENSG00000107796	59	ACTA2	actin alpha 2, smooth muscle
ENSG00000099864	5064	PALM	paralemmin
ENSG00000178947	399668	SMIM10L2A	small integral membrane protein 10 like 2A
ENSG00000171596	10316	NMUR1	neuromedin U receptor 1
ENSG00000244055	NA	NA	NA
ENSG00000183833	89876	CFAP91	cilia and flagella associated protein 91
ENSG00000225764	101929152	P3H2-AS1	P3H2 antisense RNA 1
ENSG00000150938	51232	CRIM1	cysteine rich transmembrane BMP regulator 1
ENSG00000287373	NA	NA	NA
ENSG00000164683	23462	HEY1	hes related family bHLH transcription factor with YRPW motif 1
ENSG00000095713	55118	CRTAC1	cartilage acidic protein 1
ENSG00000246922	390595	UBAP1L	ubiquitin associated protein 1 like
ENSG00000290571	55592	GOLGA2P5	GOLGA2 pseudogene 5
ENSG00000197506	64078	SLC28A3	solute carrier family 28 member 3
ENSG00000163873	2899	GRIK3	glutamate ionotropic receptor kainate type subunit 3
ENSG00000205364	4499	MT1M	metallothionein 1M
ENSG00000185133	27124	INPP5J	inositol polyphosphate-5-phosphatase J
ENSG00000182463	128553	TSHZ2	teashirt zinc finger homeobox 2
ENSG00000117425	8643	PTCH2	patched 2
ENSG00000018625	477	ATP1A2	ATPase Na+/K+ transporting subunit alpha 2
ENSG00000169302	202374	STK32A	serine/threonine kinase 32A
ENSG00000260645	NA	NA	NA
ENSG00000160801	5745	PTH1R	parathyroid hormone 1 receptor
ENSG00000234810	NA	NA	NA
ENSG00000132840	23743	BHMT2	betaine--homocysteine S-methyltransferase 2
ENSG00000229246	NA	NA	NA
ENSG00000161714	113026	PLCD3	phospholipase C delta 3
ENSG00000203875	387066	SNHG5	small nucleolar RNA host gene 5
ENSG00000258545	101928969	RHOXF1-AS1	RHOXF1 antisense RNA 1
ENSG00000105373	29997	NOP53	NOP53 ribosome biogenesis factor
ENSG00000135298	577	ADGRB3	adhesion G protein-coupled receptor B3
ENSG00000133317	85329	LGALS12	galectin 12
ENSG00000253177	101926956	LOC101926956	uncharacterized LOC101926956
ENSG00000134830	27202	C5AR2	complement C5a receptor 2
ENSG00000221818	64641	EBF2	EBF transcription factor 2
ENSG00000004948	799	CALCR	calcitonin receptor
ENSG00000214456	440503	PLIN5	perilipin 5
ENSG00000243422	653236	RPL23AP49	ribosomal protein L23a pseudogene 49
ENSG00000224596	283050	ZMIZ1-AS1	ZMIZ1 antisense RNA 1
ENSG00000073712	10979	FERMT2	FERM domain containing kindlin 2
ENSG00000272668	107985216	LOC107985216	uncharacterized LOC107985216
ENSG00000198914	5455	POU3F3	POU class 3 homeobox 3
ENSG00000122547	80820	EEPD1	endonuclease/exonuclease/phosphatase family domain containing 1
ENSG00000225125	NA	NA	NA
ENSG00000164850	2852	GPER1	G protein-coupled estrogen receptor 1
ENSG00000279170	100130890	TSTD3	thiosulfate sulfurtransferase like domain containing 3
ENSG00000122756	1271	CNTFR	ciliary neurotrophic factor receptor
ENSG00000184500	5627	PROS1	protein S
ENSG00000170153	57484	RNF150	ring finger protein 150
ENSG00000163239	126668	TDRD10	tudor domain containing 10
ENSG00000181997	389756	AQP7P2	aquaporin 7 pseudogene 2
ENSG00000257108	283948	NHLRC4	NHL repeat containing 4
ENSG00000167588	2819	GPD1	glycerol-3-phosphate dehydrogenase 1
ENSG00000254122	56099	PCDHGB7	protocadherin gamma subfamily B, 7
ENSG00000178828	54546	RNF186	ring finger protein 186
ENSG00000214578	NA	NA	NA
ENSG00000177666	57104	PNPLA2	patatin like phospholipase domain containing 2
ENSG00000122644	10124	ARL4A	ADP ribosylation factor like GTPase 4A
ENSG00000105538	54922	RASIP1	Ras interacting protein 1
ENSG00000174501	400986	ANKRD36C	ankyrin repeat domain 36C
ENSG00000183654	441061	MARCHF11	membrane associated ring-CH-type finger 11
ENSG00000272622	NA	NA	NA
ENSG00000253552	NA	NA	NA
ENSG00000245105	144571	A2M-AS1	A2M antisense RNA 1
ENSG00000078399	3205	HOXA9	homeobox A9
ENSG00000269994	440173	LINC02893	long intergenic non-protein coding RNA 2893
ENSG00000109424	7350	UCP1	uncoupling protein 1
ENSG00000138207	5950	RBP4	retinol binding protein 4
ENSG00000168970	8681	JMJD7-PLA2G4B	JMJD7-PLA2G4B readthrough
ENSG00000069535	4129	MAOB	monoamine oxidase B
ENSG00000276668	NA	NA	NA
ENSG00000290596	NA	NA	NA
ENSG00000175745	7025	NR2F1	nuclear receptor subfamily 2 group F member 1
ENSG00000246082	152195	NUDT16L2P	nudix hydrolase 16 like 2, pseudogene
ENSG00000289224	NA	NA	NA
ENSG00000130173	55908	ANGPTL8	angiopoietin like 8
ENSG00000277737	NA	NA	NA
ENSG00000125122	26231	FBXL9P	F-box and leucine rich repeat protein, pseudogene
ENSG00000175352	56675	NRIP3	nuclear receptor interacting protein 3
ENSG00000164171	3673	ITGA2	integrin subunit alpha 2
ENSG00000203943	148418	SAMD13	sterile alpha motif domain containing 13
ENSG00000197256	25959	KANK2	KN motif and ankyrin repeat domains 2
ENSG00000171889	554202	MIR31HG	MIR31 host gene
ENSG00000198467	7169	TPM2	tropomyosin 2
ENSG00000186260	57496	MRTFB	myocardin related transcription factor B
ENSG00000148225	114987	WDR31	WD repeat domain 31
ENSG00000173531	4485	MST1	macrophage stimulating 1
ENSG00000179314	23302	WSCD1	WSC domain containing 1
ENSG00000158813	1896	EDA	ectodysplasin A
ENSG00000104047	56986	DTWD1	DTW domain containing 1
ENSG00000146122	23500	DAAM2	dishevelled associated activator of morphogenesis 2
ENSG00000135111	6926	TBX3	T-box transcription factor 3
ENSG00000167549	84940	CORO6	coronin 6
ENSG00000188779	390598	SKOR1	SKI family transcriptional corepressor 1
ENSG00000146151	54511	HMGCLL1	3-hydroxy-3-methylglutaryl-CoA lyase like 1
ENSG00000237949	102724768	LOC102724768	uncharacterized LOC102724768
ENSG00000249740	101926904	LINC01265	long intergenic non-protein coding RNA 1265
ENSG00000165152	84302	PGAP4	post-GPI attachment to proteins GalNAc transferase 4
ENSG00000240207	NA	NA	NA
ENSG00000248360	201853	LINC00504	long intergenic non-protein coding RNA 504
ENSG00000148180	2934	GSN	gelsolin
ENSG00000267361	100421166	SEC24AP1	SEC24 homolog A pseudogene 1
ENSG00000177679	222183	SRRM3	serine/arginine repetitive matrix 3
ENSG00000170323	2167	FABP4	fatty acid binding protein 4
ENSG00000273226	NA	NA	NA
ENSG00000143196	1805	DPT	dermatopontin
ENSG00000253661	100192378	ZFHX4-AS1	ZFHX4 antisense RNA 1
ENSG00000237560	102723487	LINC01497	long intergenic non-protein coding RNA 1497
ENSG00000152763	79819	DNAI4	dynein axonemal intermediate chain 4
ENSG00000166173	55323	LARP6	La ribonucleoprotein 6, translational regulator
ENSG00000076344	8786	RGS11	regulator of G protein signaling 11
ENSG00000149527	9651	PLCH2	phospholipase C eta 2
ENSG00000005884	3675	ITGA3	integrin subunit alpha 3
ENSG00000287024	NA	NA	NA
ENSG00000157680	9162	DGKI	diacylglycerol kinase iota
ENSG00000224238	NA	NA	NA
ENSG00000154262	23460	ABCA6	ATP binding cassette subfamily A member 6
ENSG00000185950	8660	IRS2	insulin receptor substrate 2
ENSG00000127920	2791	GNG11	G protein subunit gamma 11
ENSG00000148053	4915	NTRK2	neurotrophic receptor tyrosine kinase 2
ENSG00000288048	NA	NA	NA
ENSG00000272316	NA	NA	NA
ENSG00000214870	441204	LINC02981	long intergenic non-protein coding RNA 2981
ENSG00000277987	NA	NA	NA
ENSG00000167103	138429	PIP5KL1	phosphatidylinositol-4-phosphate 5-kinase like 1
ENSG00000123843	725	C4BPB	complement component 4 binding protein beta
ENSG00000244968	100506495	LIFR-AS1	LIFR antisense RNA 1
ENSG00000223923	105373878	TNS1-AS1	TNS1 antisense RNA 1
ENSG00000117834	200010	SLC5A9	solute carrier family 5 member 9
ENSG00000140876	283927	NUDT7	nudix hydrolase 7
ENSG00000005379	9256	TSPOAP1	TSPO associated protein 1
ENSG00000068976	5837	PYGM	glycogen phosphorylase, muscle associated
ENSG00000104371	27121	DKK4	dickkopf WNT signaling pathway inhibitor 4
ENSG00000162896	5284	PIGR	polymeric immunoglobulin receptor
ENSG00000254670	NA	NA	NA
ENSG00000263004	NA	NA	NA
ENSG00000149596	57158	JPH2	junctophilin 2
ENSG00000196167	399948	COLCA1	colorectal cancer associated 1
ENSG00000284708	NA	NA	NA
ENSG00000185271	123103	KLHL33	kelch like family member 33
ENSG00000168329	1524	CX3CR1	C-X3-C motif chemokine receptor 1
ENSG00000154065	147463	ANKRD29	ankyrin repeat domain 29
ENSG00000165338	143279	HECTD2	HECT domain E3 ubiquitin protein ligase 2
ENSG00000145934	57451	TENM2	teneurin transmembrane protein 2
ENSG00000274403	NA	NA	NA
ENSG00000185010	2157	F8	coagulation factor VIII
ENSG00000269044	NA	NA	NA
ENSG00000153253	6328	SCN3A	sodium voltage-gated channel alpha subunit 3
ENSG00000257986	NA	NA	NA
ENSG00000135437	5959	RDH5	retinol dehydrogenase 5
ENSG00000123570	51209	RAB9B	RAB9B, member RAS oncogene family
ENSG00000111262	3736	KCNA1	potassium voltage-gated channel subfamily A member 1
ENSG00000223745	NA	NA	NA
ENSG00000158286	388591	RNF207	ring finger protein 207
ENSG00000107736	64072	CDH23	cadherin related 23
ENSG00000196843	10865	ARID5A	AT-rich interaction domain 5A
ENSG00000283930	NA	NA	NA
ENSG00000166265	116159	CYYR1	cysteine and tyrosine rich 1
ENSG00000113594	3977	LIFR	LIF receptor subunit alpha
ENSG00000126785	57381	RHOJ	ras homolog family member J
ENSG00000172137	794	CALB2	calbindin 2
ENSG00000167874	92162	TMEM88	transmembrane protein 88
ENSG00000233766	NA	NA	NA
ENSG00000034971	4653	MYOC	myocilin
ENSG00000165410	1073	CFL2	cofilin 2
ENSG00000139865	319089	TTC6	tetratricopeptide repeat domain 6
ENSG00000134463	79746	ECHDC3	enoyl-CoA hydratase domain containing 3
ENSG00000205231	100506376	TTLL10-AS1	TTLL10 antisense RNA 1
ENSG00000288808	NA	NA	NA
ENSG00000173335	128822	CST9	cystatin 9
ENSG00000153823	55022	PID1	phosphotyrosine interaction domain containing 1
ENSG00000165807	145376	PPP1R36	protein phosphatase 1 regulatory subunit 36
ENSG00000186976	64800	EFCAB6	EF-hand calcium binding domain 6
ENSG00000165799	84659	RNASE7	ribonuclease A family member 7
ENSG00000232931	NA	NA	NA
ENSG00000198478	83699	SH3BGRL2	SH3 domain binding glutamate rich protein like 2
ENSG00000157152	6854	SYN2	synapsin II
ENSG00000132793	64900	LPIN3	lipin 3
ENSG00000229847	196047	EMX2OS	EMX2 opposite strand/antisense RNA
